"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7607",699.512820504746,699.481913248698,699.532989501953,1071.17,1064.28,1081.01,42757.9435294118,42118.6249197861,4410,45,1
"CP7608",699.541585743786,699.522827148438,699.556823730469,1126.29,1117.43,1138.1,46896.2928571425,46874.6385714282,3053,3052,1
"CP7609",724.512375439536,724.486287434896,724.547607421875,1031.8,1022.94,1037.7,22142.952,22020.1488,2375,174,1
"CP7610",724.534316481918,724.487396240234,724.55712890625,1069.2,1054.43,1098.73,85577.7555555555,85070.5697777777,8819,566,1
"CP7611",724.518102666005,724.505126953125,724.550903320312,1151.88,1144.01,1160.75,68835.8647058824,63986.8915966387,6924,20,1
"CP7612",724.525882515805,724.494445800781,724.549682617188,1044.59,1037.7,1052.46,42127.992,41170.7284324324,5088,42,1
"CP7613",724.525044641012,724.497741699219,724.544372558594,1005.23,990.46,1016.05,125141.005384615,125085.1995,8433,1784,1
"CP7614",724.552236497637,724.510864257812,724.575358072917,1123.34,1110.54,1134.17,696592.708333337,696541.017708337,63149,13365,1
"CP7615",743.498509772464,743.459147135417,743.539367675781,1146.96,1131.21,1165.67,987874.665714287,982947.870285715,71083,277,1
"CP7616",743.545125657555,743.498809814453,743.57373046875,1069.2,1041.64,1100.7,78800.8049999999,71802.6379499999,3393,18,1
"CP7617",743.561549969723,743.536193847656,743.578857421875,1119.4,1109.55,1128.26,315285.164210527,310147.3219156,25690,110,1
"CP7618",743.54415406287,743.533752441406,743.568313598633,1022.94,1016.05,1027.86,19195.1866666666,15857.5228453453,3625,15,1
"CP7619",766.531000577022,766.484222412109,766.554595947266,1130.23,1111.53,1135.15,214070.028333334,213816.605416668,14162,606,1
"CP7620",766.533737778989,766.481079101562,766.572265625,1095.78,1082,1111.53,1618919.25266667,1613914.07728829,108324,457,1
"CP7621",766.5303451329,766.498870849609,766.557159423828,1020.97,1015.07,1026.88,36756.6566666669,34658.0675450452,5767,24,1
"CP7622",766.52917662077,766.513412475586,766.555023193359,987.507,969.786,1000.31,80827.552,77643.1918070328,5376,46,1
"CP7623",766.553469767629,766.520751953125,766.572937011719,1010.15,1004.24,1015.07,26674.2900000001,25948.1744226045,3392,27,1
"CP7624",766.546357755865,766.513458251953,766.577499389648,1044.59,1036.72,1050.5,30763.8499999999,29856.4449806949,3731,30,1
"CP7625",766.540614657248,766.521443684896,766.556762695312,1031.8,1026.88,1036.72,26083.8719999998,25418.6348108106,3873,31,1
