"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP01882",301.048196661199,301.047058105469,301.049560546875,48.373,43.453,55.262,4812.1675,4777.64888461538,735,100,1
"CP01883",301.054302673752,301.051513671875,301.057159423828,62.151,55.262,66.087,1376.74318181818,1347.97744755245,277,38,1
"CP01884",306.055757923674,306.053283691406,306.057464599609,61.168,56.247,66.087,775.392,756.153103448276,219,18,1
"CP01885",307.149314582295,307.144104003906,307.151641845703,45.421,35.58,54.277,14527.569,14292.1344078947,3557,151,1
"CP01886",327.040869642646,327.038787841797,327.043701171875,61.168,55.262,64.119,981.158777777778,955.182344907407,278,16,1
"CP01887",534.213218752543,534.209106445312,534.225158691406,61.168,56.247,64.119,960.384,950.072219178082,474,32,1
"CP01888",111.019455063328,111.017929077148,111.02237701416,61.168,56.247,67.071,4935.744,4905.89841176471,1553,109,1
"CP01889",111.019420284484,111.017951965332,111.022171020508,51.325,49.358,56.247,1504.75442857143,1485.75902415966,396,28,1
"CP01890",169.049843092287,169.048294067383,169.052215576172,62.151,57.23,69.04,1140.64916666667,1092.39152494331,400,15,1
"CP01891",181.050746257156,181.049285888672,181.054794311523,60.182,44.437,77.896,31787.0340882353,31673.8639411765,16441,635,1
"CP01892",183.100755726695,183.100006103516,183.102157592773,63.136,60.182,65.103,1121.0038,1117.067,445,444,1
"CP01893",213.100552871151,213.096496582031,213.104568481445,62.151,60.182,65.103,1331.6226,1327.6858,556,555,1
"CP01894",254.278752141158,254.275772094727,254.280014038086,62.151,59.198,65.103,2762.55583333333,2757.635,1401,1400,1
"CP01895",269.065535040292,269.060943603516,269.069732666016,62.151,58.214,65.103,682.011,656.470149659864,311,19,1
"CP01896",278.07232321818,278.062835693359,278.074310302734,61.168,33.611,86.754,3802.67688888889,3677.99784546616,1423,76,1
"CP01897",280.083440947951,280.080200195312,280.085205078125,62.151,57.23,65.103,786.315875,759.416458333333,277,19,1
"CP01898",297.06335645362,297.058532714844,297.065551757812,62.151,57.23,65.103,1071.712125,1066.7915,445,104,1
"CP01899",299.049952163465,299.048004150391,299.055572509766,62.151,56.247,65.103,4019.64,3947.86266666666,1623,83,1
"CP01900",300.054358471829,300.048187255859,300.055847167969,63.136,57.23,65.103,842.411,831.93375085034,267,40,1
"CP01901",317.047211998087,317.041412353516,317.048645019531,63.136,53.293,70.025,2577.71223529412,2547.04694517807,1001,80,1
"CP01902",318.047972613132,318.045776367188,318.052795410156,63.136,57.23,65.103,880.791875,868.098670918367,277,39,1
"CP01903",355.089282170086,355.085357666016,355.096160888672,62.151,54.277,76.913,4595.108,4521.47196621833,787,38,1
"CP01904",377.138054259669,377.132720947266,377.143493652344,62.151,59.198,67.071,630.824125,620.18748630137,162,23,1
